model,sash_width,max_sash_height,max_cfm,min_cfm,face_vel_occupied,face_vel_unoccupied
W-standard,37.5,27.5,572,159,100,100
W-stand-150-270,37.5,27.5,572,318,100,100
W-stand-120-270,37.5,27.5,572,254,100,100
W-tall,37.5,33,699,180,100,100
W-wide-49.5,49.5,27.5,763,201,100,100
W-wide-165-610,84.5,27.25,1293,350,100,100
W-wide-195-790,84.5,30.375,1674,413,100,100
W-tall-75-300,38.25,30,636,159,100,100
W-tall-30.25,37.5,30.25,699,180,100,100
W-wide-40,40,27.5,614,170,100,100
W-tall-34-75-330,37.5,34,699,159,100,100
