group,hour,weekend,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
very_low,0:00,FALSE,0.74745098,0.083137255,0.065254902,0.03027451,0.017411765,0.010352941,0.005490196,0.012705882,0.009411765,0.005176471,0.002509804,0.002352941,0.001568627,0.003137255,0.003137255,0.000627451,0,0,0,0
very_low,1:00,FALSE,0.760586563,0.080053868,0.06120006,0.029477779,0.01406554,0.008080203,0.004937902,0.010474338,0.009875804,0.005237169,0.002693402,0.002543767,0.002543768,0.003591202,0.004040101,0.000598534,0,0,0,0
very_low,2:00,FALSE,0.75447648,0.081487101,0.065705615,0.025493171,0.016540213,0.010015174,0.005918058,0.008801214,0.008345979,0.005311077,0.004248862,0.002276176,0.003793627,0.004400607,0.003186646,0,0,0,0,0
very_low,3:00,FALSE,0.768877216,0.079120158,0.054333552,0.024786605,0.014281024,0.01149048,0.00558109,0.009356533,0.009192383,0.004596192,0.003282994,0.002298096,0.003611294,0.00508864,0.003939593,1.64E-04,0,0,0,0
very_low,4:00,FALSE,0.7733523,0.068120752,0.056582899,0.02497234,0.015015015,0.010589537,0.00679627,0.010589537,0.009799273,0.004425478,0.003793267,0.001738581,0.003319109,0.0056899,0.004741584,4.74E-04,0,0,0,0
very_low,5:00,FALSE,0.754108723,0.078539823,0.064791403,0.030499368,0.014696587,0.01011378,0.005689001,0.008533502,0.011061947,0.004424779,0.003318584,0.001738306,0.003160556,0.004740834,0.004266751,3.16E-04,0,0,0,0
very_low,6:00,FALSE,0.762180017,0.075474814,0.059950454,0.02807597,0.016019818,0.009248555,0.006440958,0.011890999,0.009578861,0.004954583,0.002642444,0.001981833,0.00297275,0.003963667,0.003963666,0.000660611,0,0,0,0
very_low,7:00,FALSE,0.74121077,0.08060367,0.070142343,0.032755959,0.017664209,0.010118333,0.005316412,0.010118333,0.010632825,0.004458926,0.003429944,0.002057966,0.002572457,0.004630424,0.004115932,1.71E-04,0,0,0,0
very_low,8:00,FALSE,0.76657252,0.077255358,0.057983054,0.026748629,0.013955807,0.009137731,0.006811762,0.00897159,0.010799136,0.006645623,0.002492108,0.002325968,0.002824389,0.004319654,0.00299053,1.66E-04,0,0,0,0
very_low,9:00,FALSE,0.752741475,0.064743879,0.059636473,0.028992038,0.012918732,0.012017426,0.012167643,0.011867207,0.012918732,0.007360673,0.005558059,0.003154575,0.004055881,0.006008712,0.004206099,0.001051525,6.01E-04,0.00E+00,0,0
very_low,10:00,FALSE,0.749171271,0.051775848,0.04988161,0.025572218,0.014680347,0.01183899,0.011049724,0.018626677,0.01925809,0.009155485,0.00836622,0.006787687,0.006471981,0.00789266,0.006787688,0.001736385,-5.29E-05,0.001,0,0
very_low,11:00,FALSE,0.745677635,0.048661461,0.051310653,0.02607362,0.014640267,0.012130508,0.01115449,0.018404908,0.02119353,0.011433352,0.008505298,0.007110987,0.005437814,0.00738985,0.005577244,0.002370329,0.001673174,0.001115449,1.39E-04,0
