,group,hour,weekend,density
0,very_low,0.0,False,"[  1.51132388e-01   1.52458111e-02   1.29994476e-02   6.07622906e-03
   3.49843491e-03   2.28318910e-03   1.10476892e-03   2.72509667e-03
   1.84128153e-03   7.73338243e-04   4.41907568e-04   5.15558829e-04
   1.84128153e-04   4.78733198e-04   5.89210090e-04   1.10476892e-04
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00]"
1,very_low,1.0,False,"[  1.53695955e-01   1.50976290e-02   1.21338912e-02   5.99721060e-03
   2.64993026e-03   1.60390516e-03   1.04602510e-03   2.05718271e-03
   2.02231520e-03   9.06555091e-04   5.92747559e-04   5.57880056e-04
   2.09205021e-04   5.23012552e-04   8.71687587e-04   3.48675035e-05
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00]"
2,very_low,2.0,False,"[ 0.15279481  0.01524444  0.01307167  0.00522166  0.0032942   0.00206764
  0.00108639  0.00175223  0.00150692  0.00098125  0.00091116  0.00052567
  0.00035045  0.00056071  0.0006308   0.          0.          0.          0.
  0.        ]"
3,very_low,3.0,False,"[ 0.15576996  0.01502081  0.01029134  0.00491865  0.00257283  0.00249716
  0.00098373  0.00181612  0.00208097  0.00071888  0.00071888  0.00049187
  0.00030269  0.00090806  0.00090806  0.          0.          0.          0.
  0.        ]"
4,very_low,4.0,False,"[  1.56635027e-01   1.27303183e-02   1.13902848e-02   4.95067932e-03
   2.68006700e-03   2.45672808e-03   1.45170296e-03   2.08449656e-03
   1.93560395e-03   5.21124139e-04   8.18909362e-04   2.97785222e-04
   2.23338917e-04   8.18909362e-04   9.67801973e-04   3.72231528e-05
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00]"
5,very_low,5.0,False,"[  1.52813932e-01   1.49220898e-02   1.28322640e-02   6.15948671e-03
   2.82309808e-03   2.19981668e-03   9.89917507e-04   1.83318057e-03
   1.86984418e-03   7.69935839e-04   5.49954170e-04   3.66636114e-04
   4.76626948e-04   4.39963336e-04   9.16590284e-04   3.66636114e-05
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00]"
6,very_low,6.0,False,"[  1.53647240e-01   1.48591277e-02   1.15785411e-02   5.71208028e-03
   2.93323041e-03   2.00694712e-03   1.19644925e-03   2.54727904e-03
   1.89116171e-03   7.71902740e-04   5.01736781e-04   4.63141644e-04
   3.85951370e-04   5.78927055e-04   8.87688151e-04   3.85951370e-05
   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00]"
7,very_low,7.0,False,"[ 0.14873747  0.01563126  0.0143487   0.00693387  0.00324649  0.00224449
  0.00108216  0.00224449  0.00228457  0.00052104  0.0006012   0.0004008
  0.00016032  0.00072144  0.00084168  0.          0.          0.          0.
  0.        ]"
8,very_low,8.0,False,"[ 0.15462563  0.01527491  0.01148433  0.00536686  0.00232689  0.00198912
  0.00138863  0.00176393  0.00217677  0.00097579  0.0004879   0.00052543
  0.00041284  0.00052543  0.00067555  0.          0.          0.          0.
  0.        ]"
9,very_low,9.0,False,"[  1.52024291e-01   1.21794872e-02   1.18083671e-02   5.97165992e-03
   2.29419703e-03   2.59784076e-03   2.56410256e-03   2.46288799e-03
   2.66531714e-03   1.28205128e-03   9.44669366e-04   4.38596491e-04
   7.08502024e-04   9.44669366e-04   8.77192982e-04   1.34952767e-04
   3.37381916e-05   6.74763833e-05   0.00000000e+00   0.00000000e+00]"
