hood_id,sash_group,hood_model,laboratory,sash_width,max_sash_height,max_cfm,min_cfm,face_vel_occupied,face_vel_unoccupied
wong-2610-0,"""40-60""",W-stand-120-270,wong-2610,37.5,27.5,572,254,100,100
wong-2610-1,"""40-60""",W-stand-120-270,wong-2610,37.5,27.5,572,254,100,100
wong-270-0,"""40-60""",W-stand-120-270,wong-270,37.5,27.5,572,254,100,100
wong-270-1,"""40-60""",W-stand-120-270,wong-270,37.5,27.5,572,254,100,100
wong-250-0,"""40-60""",W-stand-150-270,wong-250,37.5,27.5,572,318,100,100
wong-1160-0,"""40-60""",W-standard,wong-1160,37.5,27.5,572,159,100,100
wong-1160-1,"""40-60""",W-standard,wong-1160,37.5,27.5,572,159,100,100
wong-1170-0,"""40-60""",W-standard,wong-1170,37.5,27.5,572,159,100,100
wong-1170-1,"""40-60""",W-standard,wong-1170,37.5,27.5,572,159,100,100
wong-1170-2,"""40-60""",W-standard,wong-1170,37.5,27.5,572,159,100,100
wong-1180-0,"""40-60""",W-standard,wong-1180,37.5,27.5,572,159,100,100
wong-1180-1,"""40-60""",W-standard,wong-1180,37.5,27.5,572,159,100,100
wong-1220-0,"""40-60""",W-standard,wong-1220,37.5,27.5,572,159,100,100
wong-1220-1,"""40-60""",W-standard,wong-1220,37.5,27.5,572,159,100,100
wong-1310-0,"""40-60""",W-standard,wong-1310,37.5,27.5,572,159,100,100
wong-1310-1,"""40-60""",W-standard,wong-1310,37.5,27.5,572,159,100,100
wong-1310-2,"""40-60""",W-standard,wong-1310,37.5,27.5,572,159,100,100
wong-1310-3,"""40-60""",W-standard,wong-1310,37.5,27.5,572,159,100,100
wong-2030-0,"""40-60""",W-standard,wong-2030,37.5,27.5,572,159,100,100
wong-2030-1,"""40-60""",W-standard,wong-2030,37.5,27.5,572,159,100,100
wong-220-380-0,"""40-60""",W-standard,wong-220-380,37.5,27.5,572,159,100,100
wong-2240-0,"""40-60""",W-standard,wong-2240,37.5,27.5,572,159,100,100
wong-2241-0,"""40-60""",W-standard,wong-2241,37.5,27.5,572,159,100,100
wong-2250-0,"""40-60""",W-standard,wong-2250,37.5,27.5,572,159,100,100
wong-2430-0,"""40-60""",W-standard,wong-2430,37.5,27.5,572,159,100,100
wong-2430-1,"""40-60""",W-standard,wong-2430,37.5,27.5,572,159,100,100
wong-2430-2,"""40-60""",W-standard,wong-2430,37.5,27.5,572,159,100,100
wong-2430-3,"""40-60""",W-standard,wong-2430,37.5,27.5,572,159,100,100
wong-2430-4,"""40-60""",W-standard,wong-2430,37.5,27.5,572,159,100,100
wong-2440-0,"""40-60""",W-standard,wong-2440,37.5,27.5,572,159,100,100
wong-251-0,"""40-60""",W-standard,wong-251,37.5,27.5,572,159,100,100
wong-2590-0,"""40-60""",W-standard,wong-2590,37.5,27.5,572,159,100,100
wong-2590-1,"""40-60""",W-standard,wong-2590,37.5,27.5,572,159,100,100
wong-3052-0,"""40-60""",W-standard,wong-3052,37.5,27.5,572,159,100,100
wong-3270-0,"""40-60""",W-standard,wong-3270,37.5,27.5,572,159,100,100
wong-4080-0,"""40-60""",W-standard,wong-4080,37.5,27.5,572,159,100,100
wong-4080-1,"""40-60""",W-standard,wong-4080,37.5,27.5,572,159,100,100
wong-4090-0,"""40-60""",W-standard,wong-4090,37.5,27.5,572,159,100,100
wong-4090-1,"""40-60""",W-standard,wong-4090,37.5,27.5,572,159,100,100
wong-4290-0,"""40-60""",W-standard,wong-4290,37.5,27.5,572,159,100,100
wong-4290-1,"""40-60""",W-standard,wong-4290,37.5,27.5,572,159,100,100
wong-4290-2,"""40-60""",W-standard,wong-4290,37.5,27.5,572,159,100,100
wong-4340-0,"""40-60""",W-standard,wong-4340,37.5,27.5,572,159,100,100
wong-5040-0,"""40-60""",W-standard,wong-5040,37.5,27.5,572,159,100,100
wong-5050-0,"""40-60""",W-standard,wong-5050,37.5,27.5,572,159,100,100
wong-5120-0,"""40-60""",W-standard,wong-5120,37.5,27.5,572,159,100,100
wong-5150-0,"""40-60""",W-standard,wong-5150,37.5,27.5,572,159,100,100
wong-5150-1,"""40-60""",W-standard,wong-5150,37.5,27.5,572,159,100,100
wong-5180-0,"""40-60""",W-standard,wong-5180,37.5,27.5,572,159,100,100
wong-5180-1,"""40-60""",W-standard,wong-5180,37.5,27.5,572,159,100,100
wong-6120-0,"""40-60""",W-standard,wong-6120,37.5,27.5,572,159,100,100
wong-6120-1,"""40-60""",W-standard,wong-6120,37.5,27.5,572,159,100,100
wong-6120-2,"""40-60""",W-standard,wong-6120,37.5,27.5,572,159,100,100
wong-6120-3,"""40-60""",W-standard,wong-6120,37.5,27.5,572,159,100,100
wong-7040-0,"""40-60""",W-standard,wong-7040,37.5,27.5,572,159,100,100
wong-7040-1,"""40-60""",W-standard,wong-7040,37.5,27.5,572,159,100,100
wong-7040-2,"""40-60""",W-standard,wong-7040,37.5,27.5,572,159,100,100
