group,hour,weekend,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95
"""0-20""",0:00,FALSE,0.74745098,0.830588235,0.895843137,0.926117647,0.943529412,0.953882353,0.959372549,0.972078431,0.981490196,0.986666667,0.989176471,0.991529412,0.993098039,0.996235294,0.999372549,1,1,1,1,1
"""0-20""",1:00,FALSE,0.760586563,0.840640431,0.901840491,0.93131827,0.94538381,0.953464013,0.958401915,0.968876253,0.978752057,0.983989226,0.986682628,0.989226395,0.991770163,0.995361365,0.999401466,1,1,1,1,1
"""0-20""",2:00,FALSE,0.75447648,0.835963581,0.901669196,0.927162367,0.94370258,0.953717754,0.959635812,0.968437026,0.976783005,0.982094082,0.986342944,0.98861912,0.992412747,0.996813354,1,1,1,1,1,1
"""0-20""",3:00,FALSE,0.768877216,0.847997374,0.902330926,0.927117531,0.941398555,0.952889035,0.958470125,0.967826658,0.977019041,0.981615233,0.984898227,0.987196323,0.990807617,0.995896257,0.99983585,1.00E+00,1,1,1,1
"""0-20""",4:00,FALSE,0.7733523,0.841473052,0.898055951,0.923028291,0.938043306,0.948632843,0.955429113,0.96601865,0.975817923,0.980243401,0.984036668,0.985775249,0.989094358,0.994784258,0.999525842,1.00E+00,1,1,1,1
"""0-20""",5:00,FALSE,0.754108723,0.832648546,0.897439949,0.927939317,0.942635904,0.952749684,0.958438685,0.966972187,0.978034134,0.982458913,0.985777497,0.987515803,0.990676359,0.995417193,0.999683944,1.00E+00,1,1,1,1
"""0-20""",6:00,FALSE,0.762180017,0.837654831,0.897605285,0.925681255,0.941701073,0.950949628,0.957390586,0.969281585,0.978860446,0.983815029,0.986457473,0.988439306,0.991412056,0.995375723,0.999339389,1,1,1,1,1
"""0-20""",7:00,FALSE,0.74121077,0.82181444,0.891956783,0.924712742,0.942376951,0.952495284,0.957811696,0.967930029,0.978562854,0.98302178,0.986451724,0.98850969,0.991082147,0.995712571,0.999828503,1.00E+00,1,1,1,1
"""0-20""",8:00,FALSE,0.76657252,0.843827878,0.901810932,0.928559561,0.942515368,0.951653099,0.958464861,0.967436451,0.978235587,0.98488121,0.987373318,0.989699286,0.992523675,0.996843329,0.999833859,1.00E+00,1,1,1,1
"""0-20""",9:00,FALSE,0.752741475,0.817485354,0.877121827,0.906113865,0.919032597,0.931050023,0.943217666,0.955084873,0.968003605,0.975364278,0.980922337,0.984076912,0.988132793,0.994141505,0.998347604,0.999399129,1.00E+00,1.00E+00,1,1
"""0-20""",10:00,FALSE,0.749171271,0.800947119,0.850828729,0.876400947,0.891081294,0.902920284,0.913970008,0.932596685,0.951854775,0.96101026,0.96937648,0.976164167,0.982636148,0.990528808,0.997316496,0.999052881,9.99E-01,1,1,1
"""0-20""",11:00,FALSE,0.745677635,0.794339096,0.845649749,0.871723369,0.886363636,0.898494144,0.909648634,0.928053542,0.949247072,0.960680424,0.969185722,0.976296709,0.981734523,0.989124373,0.994701617,0.997071946,0.99874512,0.999860569,1.00E+00,1
"""0-20""",12:00,FALSE,0.731215998,0.785031613,0.8403176,0.870607264,0.884575798,0.898691369,0.908395824,0.925452139,0.949713277,0.961476253,0.968387002,0.976032936,0.981326276,0.990295545,0.99632407,0.997794442,0.999558888,1.00E+00,1.00E+00,1
